model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
dynamic_reevaluation,fully_shared,0.4177551658316647,0.8425992694725314,0.6464345923164961,-0.754192190560208,0.8575360261731453,0.7191425290023704,0.6427023870594419,0.22543825331175116,10.0,interpolation_test,0.36552165275907345
generic_sequential_choice,fully_shared,0.07036309640267446,1.345329885089794,0.2674984547901567,-0.975226211139285,1.348636139668228,0.26151482366823847,0.6866377508928453,0.2465611789639272,12.0,interpolation_test,-0.24048037872150646
option_termination,fully_shared,0.19180791055040913,1.169580259370446,0.44287347330093235,-0.9754784259868885,1.1740446821790431,0.5358285440620354,0.6788400617672485,0.242598740888226,10.0,interpolation_test,-0.025040033646813772
latent_motivation,fully_shared,0.10233608212041412,1.2990599779516667,0.3278534704610609,-1.0179886759252474,1.2988134444265236,0.32442990500498986,0.6840916915408796,0.24521723990829383,10.0,interpolation_test,-0.17900074615649986
intercept,fully_shared,-0.000149719568500295,1.4473729496892909,-0.0039812879541190616,-1.053209332597801,1.4491547106401288,0.02701099808096482,0.6880607947589112,0.24743729896880406,2.0,interpolation_test,-0.3645171209999352
dual_history,fully_shared,0.6325111830179855,0.43385898108013116,0.8014603429303028,-0.06155682369647381,0.43481416027702907,0.7680828933407063,0.6065986833901681,0.20870254499983396,30.0,structural_test,0.7840868096258071
outcome_history,fully_shared,0.6275325511251656,0.43973677670376676,0.7983656787657727,-0.07377711534866728,0.4409323922500165,0.7651647993413208,0.6073707393842162,0.20909828892600316,26.0,structural_test,0.7754196791183855
latent_context,fully_shared,0.6253836149627219,0.44227382058309034,0.7971870009457077,-0.07863748035213942,0.4434480721965452,0.7644461763369673,0.6070036203201804,0.20895067025401676,28.0,structural_test,0.771855949186645
task_set_reinstatement,fully_shared,0.5728302450682479,0.5043185698682356,0.7638996151251571,-0.09058776106273371,0.5061334547005532,0.7242739458941377,0.6142045643968194,0.21217937875892148,28.0,structural_test,0.6830553947995928
choice_perseveration,fully_shared,0.5730984609738672,0.5040019129411565,0.7641137698579232,-0.09365920617014242,0.5059440821138573,0.7250430221010946,0.6147775649674525,0.2124155533898752,26.0,structural_test,0.6833236613397743
immediate_state,fully_shared,0.5557343298475472,0.524502085707436,0.7531394093216592,-0.14518662992481596,0.5272290529118882,0.7066645414653305,0.6172783475885302,0.21362749259286265,22.0,structural_test,0.653171221784085
option_termination,fully_shared,0.1858197882035355,0.9612248884376463,0.4471287955934288,-0.609968552315893,0.9595982906693342,0.4609909149946271,0.6553249301587653,0.23129577164359522,10.0,structural_test,0.04067391413323767
dynamic_reevaluation,fully_shared,0.3843287470631951,0.7268643020844984,0.6270174488610096,-0.7930701701580867,0.7256887947728619,0.6636241211571484,0.6388827719659383,0.2241266567321916,10.0,structural_test,0.37203175358926394
latent_motivation,fully_shared,0.054441140222301954,1.1163311221917278,0.3187297243329198,-1.0658110271871137,1.1111103124377637,0.27371450326803404,0.664845284636424,0.23559783108149368,10.0,structural_test,-0.1739590830966895
intercept,fully_shared,-0.03211040281799615,1.2185142704648213,0.004236420771127383,-1.3069062734397459,1.2242408794576565,0.040505351986029704,0.6700447005864032,0.23853175378555522,2.0,structural_test,-0.33422064118554257
generic_sequential_choice,fully_shared,0.07089704613110448,1.0969032042785332,0.31854176389761846,-1.3229057940552615,1.0979798769649076,0.34210113746563053,0.6578030939599419,0.2328297039751726,12.0,structural_test,-0.15535841572007286
