layer,direction,steering_mode,task_family,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect,task_sign_consistency
30,persistence,neural_norm,bandit,-0.0066964285714285745,0.00669642857142857,0.5192307692307693,-0.6573757351339166,0.011160714285714286,
30,persistence,neural_norm,debugging,-0.002232142857142857,0.015624999999999997,0.0357142857142857,-0.07968190728895957,0.015625,
30,persistence,neural_norm,effort,0.0007440476190476197,-0.011160714285714284,0.01666666666666694,0.15811388300841897,0.011160714285714286,
30,persistence,neural_norm,foraging,0.002232142857142858,0.004464285714285712,0.028846153846153966,0.09177788727679406,0.013392857142857142,
30,persistence,neural_norm,information_sampling,0.004464285714285716,-0.02678571428571428,0.07499999999999996,0.17928429140015908,0.026785714285714284,
30,persistence,neural_norm,solvability,-0.0014880952380952374,-0.01339285714285714,0.033333333333333215,-0.21912524504463884,0.013392857142857142,
30,persistence,neural_norm,waiting,-0.004464285714285715,6.556638444143087e-19,0.4285714285714286,-0.668153104781061,0.004464285714285714,
8,action_orthogonal,computational_units,ALL,-0.004570578231292518,0.0022321428571428566,0.5502976190476191,-0.7748062179181807,0.005420918367346937,0.8333333333333334
8,action_orthogonal,neural_norm,ALL,-0.0025510204081632655,0.003188775510204081,0.16382252559726973,-0.3091420111676559,0.005739795918367346,0.8571428571428571
8,action_raw,computational_units,ALL,-0.0020195578231292513,0.0047831632653061226,0.5098870056497176,-0.7158675207589937,0.0047831632653061226,0.5714285714285714
8,action_raw,neural_norm,ALL,0.00116921768707483,0.003826530612244898,0.14828431372549045,0.43643578047198484,0.003826530612244898,0.6666666666666666
8,action_residualized,computational_units,ALL,0.0017006802721088435,0.001913265306122449,0.09696969696969715,0.24325638628366394,0.003826530612244898,0.8333333333333334
8,action_residualized,neural_norm,ALL,0.001806972789115646,0.005739795918367346,0.18244949494949492,0.5405624776173354,0.0063775510204081625,0.5
8,gradient,neural_norm,ALL,0.03252551020408163,0.006058673469387756,0.9806459721000377,1.0,0.032844387755102046,1.0
8,persistence,neural_norm,ALL,-0.002232142857142857,-0.0009566326530612245,0.31144067796610175,-0.47280542884465027,0.0041454081632653055,0.7142857142857143
30,action_orthogonal,computational_units,ALL,0.006802721088435374,0.005739795918367346,0.2975879104911364,0.5714285714285715,0.013392857142857142,0.8333333333333334
30,action_orthogonal,neural_norm,ALL,0.001488095238095238,0.0012755102040816326,0.14714714714714716,0.3455116595403213,0.003826530612244898,0.5714285714285714
30,action_raw,computational_units,ALL,0.012011054421768709,0.006377551020408162,0.6743240388677652,0.6785714285714287,0.014668367346938776,0.8571428571428571
30,action_raw,neural_norm,ALL,0.0015943877551020409,0.0012755102040816328,0.1499999999999999,0.21673036171575272,0.0031887755102040813,0.5714285714285714
