layer,random_index,split,r2,pearson_r,mse
8,74,transfer,-0.06578858408621224,-0.10836419656164978,1.7849612456608355
8,75,transfer,-0.06652799195952541,-0.09597465455578666,1.7861995910684587
8,76,transfer,-0.058311212850995275,0.20346668675085117,1.7724382949804014
8,77,transfer,-0.05549438845467969,0.03559107996912877,1.7677207342386845
8,78,transfer,-0.06926063208186584,-0.016594936261692447,1.790776161684382
8,79,transfer,-0.07378112852021435,0.1526183243429012,1.7983469980341806
8,80,transfer,-0.06275574513552962,0.16498584775763198,1.7798819080960213
8,81,transfer,-0.06375238603626121,0.20463114563766488,1.7815510621948822
8,82,transfer,-0.06482246375020462,0.25062459988823177,1.7833432067888046
8,83,transfer,-0.06458857271950147,0.2762313246742845,1.7829514908033395
8,84,transfer,-0.07074068957935475,0.1345840618036075,1.793254932158953
8,85,transfer,-0.06159706385428998,0.26182554287264925,1.7779413720328971
8,86,transfer,-0.06418476897213221,-0.12530453041507306,1.7822752084236357
8,87,transfer,-0.06554279265893093,0.062162147520180094,1.7845495991309668
8,88,transfer,-0.06531549276979098,0.016835568834458043,1.7841689218565844
8,89,transfer,-0.06284144425331273,-0.1021928901298978,1.7800254352517013
8,90,transfer,-0.06742109268731822,-0.04409211496259367,1.7876953381719505
8,91,transfer,-0.0624320772076048,-0.010968951964377617,1.7793398355720373
8,92,transfer,-0.06478856643200093,0.23151409602979495,1.7832864362432865
8,93,transfer,-0.06273933425316702,0.10748782494176033,1.7798544234809095
8,94,transfer,-0.06397942576409776,0.1463421598241141,1.7819313037563558
8,95,transfer,-0.0517340593793012,0.22725653579645066,1.761423010871496
8,96,transfer,-0.07622851597062175,0.30087452643084667,1.8024458332228117
8,97,transfer,-0.0698503075900454,-0.07930937982998736,1.7917637383438925
8,98,transfer,-0.05975486567010391,0.051320678346178344,1.7748560956331523
8,99,transfer,-0.066805625798803,0.14380555971450656,1.7866645666283347
30,0,validation,0.00334690202333765,0.06775433629966349,0.8955046863022446
30,1,validation,-0.0013032071281555702,0.015874488181120867,0.8996828647932691
30,2,validation,0.0032292378120891696,0.06678876569522321,0.8956104089983331
30,3,validation,0.005463519848155185,0.08007507488094044,0.8936028799615199
30,4,validation,0.026536703561881425,0.1791710074133905,0.8746683732517521
30,5,validation,-0.00079792967902792,0.016843731942668402,0.8992288669835043
30,6,validation,-0.0008537283262930462,0.009838872874555584,0.8992790027330614
30,7,validation,-0.0007793277054337633,0.011168900384529949,0.8992121528885381
30,8,validation,0.0017503446101181375,0.051425989651996566,0.8969392121652466
30,9,validation,-0.0003520367954261694,0.023868403283502516,0.8988282269135897
30,10,validation,0.0004485597865024893,0.03826959870518001,0.8981088813434909
30,11,validation,0.0003772510997888112,0.03723945555176928,0.8981729530483357
30,12,validation,0.002740187071528788,0.06055269596834828,0.8960498269170658
30,13,validation,0.00672636756644307,0.09588388335513458,0.8924681962364517
30,14,validation,-0.0010095076328007213,0.002105586153570335,0.8994189722964828
30,15,validation,-0.0005162304075605473,0.02191640569061836,0.8989757568308955
30,16,validation,0.023348310612270606,0.16840428127817486,0.8775331823151523
30,17,validation,0.005411614805852505,0.0783077178862161,0.8936495172606153
30,18,validation,0.0034280605578889123,0.07000438133049917,0.8954317643917307
30,19,validation,-0.0004293356592406372,0.02167510291958198,0.8988976808639483
30,20,validation,0.0404547900723472,0.21457957797605212,0.8621628066511112
30,21,validation,0.02710939349045538,0.17490247353783694,0.8741538045258059
30,22,validation,-0.0011540837318739783,0.018811912079494574,0.8995488756445087
30,23,validation,0.012259524063000127,0.1205832729502894,0.8874965891820314
30,24,validation,-0.0008177025876123789,0.023207073052623074,0.8992466331775142
30,25,validation,0.0012146321545717376,0.0444929631262261,0.8974205561909926
30,26,validation,0.009681417268897041,0.10301751623794259,0.8898130488615267
30,27,validation,0.000354760885120764,0.043387069817821255,0.8981931607742456
30,28,validation,0.01983225440818759,0.1507848140968161,0.8806924007176743
30,29,validation,-0.0006886787692088614,0.015016539216014577,0.8991307037390172
30,30,validation,-0.0005487528889223103,0.016291936594953302,0.8990049786679909
30,31,validation,0.004961446268006209,0.08776865764310217,0.8940539990568246
30,32,validation,0.001827436269676852,0.06033899704910547,0.8968699443903811
30,33,validation,-0.0009081829323156487,0.0049276199042053055,0.899327930845544
30,34,validation,0.0005767291065881253,0.03891696483914538,0.8979937196819159
30,35,validation,0.0004143226618090745,0.036700692583679174,0.8981396438080542
30,36,validation,-0.0018786552269880463,-0.029296168837713535,0.9001999117680634
30,37,validation,-0.0008370436505675816,0.03744621213127281,0.8992640113530798
30,38,validation,-0.0009106502862692434,0.021865578806784497,0.8993301477924763
30,39,validation,0.0007294654785927612,0.050796239400941696,0.89785648423141
30,40,validation,0.015379631689914408,0.13415867747089713,0.884693135294875
30,41,validation,0.0017083894035067049,0.05623702218950442,0.8969769094183948
30,42,validation,0.012875753864397543,0.12034162613312752,0.8869428993614601
30,43,validation,-0.0006276538230571838,0.02075329734804844,0.8990758720976254
30,44,validation,0.005270237904238306,0.08004277750341865,0.8937765460915972
30,45,validation,0.004812308023739553,0.0763953693292981,0.8941880015466768
30,46,validation,0.0005893479295436821,0.037816729837204036,0.8979823815191035
30,47,validation,0.00307699680375495,0.06861867986703252,0.8957471993586775
30,48,validation,0.00866123611595948,0.11173895335743905,0.8907296937856106
30,49,validation,0.004271419485455286,0.08312908963356273,0.8946739963444494
30,50,validation,-0.00040772016695189706,0.029753327511857487,0.8988782590865207
30,51,validation,0.0003806709691376309,0.040226039350567365,0.8981698802549689
30,52,validation,0.0023039129530165736,0.05817102519499308,0.8964418244119144
30,53,validation,0.009612525448556397,0.11245198266251048,0.8898749489831318
30,54,validation,0.010487460326864428,0.10756088685665757,0.889088809567798
30,55,validation,0.0014335282667302662,0.04654383597607081,0.8972238754254893
30,56,validation,0.007773137600247448,0.09572437967645854,0.8915276608860317
30,57,validation,0.022353582236155023,0.15960642673496026,0.8784269576159242
30,58,validation,0.03444060938871085,0.19903935187266628,0.8675666196703037
30,59,validation,-0.0010523518778735585,-0.00745559864617305,0.8994574683612838
