model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
dual_history,hierarchical,-0.650753092150723,1.2008216787904846,0.2239560172229841,-1.0907737489991174,1.2879222604086566,0.20584118223047362,0.7052707116569875,0.2513926550366622,247.0,interpolation_test,-780.8068256946971
intercept,hierarchical,-0.08245516916126538,0.7566066025596673,-0.14211483590895133,-0.16924323127668853,0.7736340156185371,0.0,0.6974347976402583,0.2521412007773955,23.0,structural_test,-1.6007193850196164
option_termination,hierarchical,-0.33079400597250475,0.9301886676247366,0.012093708673224767,-0.42229890859882097,0.8876821335652577,-0.2174097849525338,0.7352833675181435,0.2695708696601285,87.0,structural_test,-6.289622978701756
dynamic_reevaluation,hierarchical,-0.24418195252335373,0.8696492075456138,0.07984223532384101,-0.5562035547975958,0.8905372617906695,-0.25788931551905575,0.6587729571998931,0.23300966112637408,87.0,structural_test,-6.40700694993757
generic_sequential_choice,hierarchical,-0.39892574821772864,0.9778108948496961,-0.11546445098886364,-0.6818286923497474,0.9954025359267243,-0.18203531152184388,0.7006473568941434,0.2535099386946281,103.0,structural_test,-10.718372797980035
meta_control,hierarchical,-0.3945384518360051,0.9747442944912071,-0.06247892934214525,-0.804971472193038,1.0327329951455382,-0.0547319584699416,0.6929032384634549,0.24925312544336128,135.0,structural_test,-12.253154147608907
latent_motivation,hierarchical,-0.8752819979149542,1.3107709046122689,-0.18148240047401437,-1.0248087055438133,1.2705591908769065,-0.27071722702082124,0.7881769420973379,0.29290490684872444,87.0,structural_test,-22.030992869660608
immediate_state,hierarchical,-0.19450263048867789,0.8349247181321184,0.23739339921339603,-1.1010892750902936,0.9085333180188685,-0.006413277383198238,0.6782445321972096,0.24322819319352343,183.0,structural_test,-7.146885645348646
latent_context,hierarchical,-0.5058048270093187,1.0525164521725643,0.1515474731812748,-1.1331129358181227,1.0836628575428604,-0.16465163995813925,0.7117252271324225,0.2585176398253464,231.0,structural_test,-14.347052925772898
choice_perseveration,hierarchical,-0.55833498098059,1.0892335952565921,0.07942229571394716,-1.311530879129607,1.1572879589106668,-0.3249980780029716,0.6761387217488476,0.239324833725782,215.0,structural_test,-17.37402968438977
