target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
action_history,13,test,0.11274416655211039,0.34112909774352235,1.0377230106988344,1.0,0.10700688504999195
action_history,13,transfer,0.08970478051974196,0.38813064707001543,1.5815367999336727,1.0,0.08970478051974207
action_history,14,validation,0.08887483078698244,0.3000553490088019,0.8862757234556483,1.0,0.08528058854247073
action_history,14,test,0.09357034783450513,0.3133425542883317,1.0601484624525936,1.0,0.08936881938820779
action_history,14,transfer,0.056757364923669784,0.3029471355688354,1.638779273707893,1.0,0.05675736492366971
action_history,15,validation,0.10699863787130781,0.3281253658141676,0.8686462135066418,1.0,0.09719490482148976
action_history,15,test,0.11443513499461955,0.3457555542386306,1.0357452757581258,1.0,0.11060698080151804
action_history,15,transfer,0.040884154024810826,0.28026734411197907,1.6663572139545606,1.0,0.04088415402481086
action_history,16,validation,0.0949934990851855,0.30990822512117217,0.8803239318074613,1.0,0.08528583027285269
action_history,16,test,0.10388017289255469,0.3312719410207348,1.0480902236721936,1.0,0.09816915518829428
action_history,16,transfer,0.05083605380862921,0.2739017063933791,1.6490668938468187,1.0,0.050836053808629246
action_history,17,validation,0.10077916376488583,0.3193818298086218,0.8746960616498382,1.0,0.09325332766953898
action_history,17,test,0.1084555516483694,0.339248360423477,1.0427389195290349,1.0,0.10560285375109427
action_history,17,transfer,0.05798750403614228,0.29455886916241875,1.6366420436820956,1.0,0.057987504036142466
action_history,18,validation,0.10482614626466347,0.3253905318902059,0.8707594539651873,1.0,0.10229072811508438
action_history,18,test,0.1253435695645151,0.3723071637585805,1.022986910992133,1.0,0.1188672896172181
action_history,18,transfer,0.07120603849450458,0.31336538401447234,1.613676308786742,1.0,0.07120603849450458
action_history,19,validation,0.17608185601279558,0.4242918832309307,0.8014471269202446,1.0,0.15296806637032948
action_history,19,test,0.20237727231330527,0.4794892449030645,0.9328892830834982,1.0,0.20895610358320743
action_history,19,transfer,0.09642103791350942,0.4162235904198324,1.5698680489628232,1.0,0.09642103791350964
