pair_split,method,median,max
mech_pair_test,random_039,0.010273612508262281,0.0655019845201155
mech_pair_test,random_040,0.008646947342230728,0.08799026934938
mech_pair_test,random_041,0.007587138489895841,0.06394520107912441
mech_pair_test,random_042,0.008163524368629747,0.09869899614759312
mech_pair_test,random_043,0.008839863226734702,0.06396618295439956
mech_pair_test,random_044,0.011390381271552992,0.10644246458352312
mech_pair_test,random_045,0.011775195883784822,0.07268086380787624
mech_pair_test,random_046,0.010339563112677454,0.14399654230843859
mech_pair_test,random_047,0.01009178854657429,0.0956401970513948
mech_pair_test,random_048,0.01567855857950752,0.07798953878502522
mech_pair_test,random_049,0.006511770133496408,0.06843825486421878
mech_pair_test,random_050,0.009398576030883878,0.08053311021045491
mech_pair_test,random_051,0.007934609673366911,0.0730325178896179
mech_pair_test,random_052,0.009757090487956848,0.05971987520156575
mech_pair_test,random_053,0.010437664770748555,0.07790925385313752
mech_pair_test,random_054,0.012704885548535928,0.0804426908175525
mech_pair_test,random_055,0.00672575928917944,0.05026413373577643
mech_pair_test,random_056,0.020500655982528752,0.11796177368224577
mech_pair_test,random_057,0.00858539450799312,0.06897283586231938
mech_pair_test,random_058,0.012115713704561805,0.06320624752365721
mech_pair_test,random_059,0.010686930087645482,0.053721332065510934
mech_pair_test,random_060,0.00955724757344235,0.0642632314179086
mech_pair_test,random_061,0.009555805764939078,0.0845805080333801
mech_pair_test,random_062,0.011861707419657213,0.08875545893325855
mech_pair_test,random_063,0.010832697378891691,0.07159687102970763
mech_pair_test,random_064,0.014844704160530946,0.10895900098096238
mech_pair_test,random_065,0.009996469902457032,0.07605887121908594
mech_pair_test,random_066,0.011487930486805154,0.06516043327860321
mech_pair_test,random_067,0.013065514391760801,0.0823325672760228
mech_pair_test,random_068,0.01010286012765976,0.08818096984176947
mech_pair_test,random_069,0.01327606626725466,0.08199269110816511
mech_pair_test,random_070,0.010112776836502024,0.05737343177773146
mech_pair_test,random_071,0.0118542991927213,0.07405171255624818
mech_pair_test,random_072,0.009401773404667748,0.04257520060713602
mech_pair_test,random_073,0.00965227968413043,0.049932697895808086
mech_pair_test,random_074,0.00979272149953548,0.08162348707061855
mech_pair_test,random_075,0.011174192190732284,0.0523241744001838
mech_pair_test,random_076,0.006827485223615043,0.05433931829797133
mech_pair_test,random_077,0.009669845826146481,0.11592591488821939
mech_pair_test,random_078,0.006795309798594992,0.09261242081544464
mech_pair_test,random_079,0.01038873267680433,0.07403736909639655
mech_pair_test,random_080,0.010421358131372833,0.05589149833735977
mech_pair_test,random_081,0.009454822614366996,0.11471209137893605
mech_pair_test,random_082,0.010530398717549183,0.05941797583984462
mech_pair_test,random_083,0.008673625878582041,0.0816534486171373
