architecture,task_family,parameter,estimate_mean,interval_low,interval_high,probability_positive
dual_history,debugging,factor_continuation_cost,-0.16311632426356631,-0.18108266863466857,-0.14339528512084018,0.0
dual_history,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_continuation_value,0.2135586475452379,0.1978107668922053,0.22967087969845798,1.0
dual_history,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_controllability,0.06937911989217471,0.05715772885071076,0.08476820269891547,1.0
dual_history,debugging,factor_controllability__available,-0.11089830164110134,-0.11991681398259017,-0.09885182243786933,0.0
dual_history,debugging,factor_disengagement_value,-0.3072467059925547,-0.32113849287398566,-0.2905904355792724,0.0
dual_history,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_environmental_stability,0.20037004535446762,0.18138152409077332,0.2183783177735807,1.0
dual_history,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_goal_continuity,0.04455335949004602,0.027426665536514554,0.06551657782159409,1.0
dual_history,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_prior_investment,-0.11473045058860115,-0.13402517694060587,-0.09156586834795301,0.0
dual_history,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_progress_evidence,0.31525979607250076,0.29778250657948013,0.33292155891909414,1.0
dual_history,debugging,factor_progress_evidence__available,-0.35409867718317073,-0.3608806742513853,-0.3476685626113922,0.0
dual_history,debugging,factor_success_evidence,0.4980125775121784,0.47638460301542557,0.5161029876908133,1.0
dual_history,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,debugging,factor_uncertainty,-0.0010106220766253706,-0.019662123403297316,0.018841628768891765,0.44
dual_history,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,debugging,history_action_1,0.05322257556799908,0.020163581111268883,0.08708227406599638,1.0
dual_history,debugging,history_action_1__available,-0.06788860101327782,-0.07292220164582199,-0.062220734037048725,0.0
dual_history,debugging,history_action_kernel,0.004845244147500644,-0.026646525721029227,0.038384908530963595,0.64
dual_history,debugging,history_action_kernel__available,-0.06788860101327213,-0.07292220164583806,-0.062220734037036325,0.0
dual_history,debugging,history_outcome_1,0.023586680689802474,-0.019343786497054562,0.06259429365660539,0.86
dual_history,debugging,history_outcome_1__available,-0.06788860101327274,-0.07292220164583331,-0.06222073403703883,0.0
dual_history,debugging,history_outcome_kernel,0.26278677051435984,0.22193922512063724,0.31232756341076207,1.0
dual_history,debugging,history_outcome_kernel__available,-0.06788860101327442,-0.0729222016458117,-0.06222073403705107,0.0
dual_history,debugging,intercept,-0.586549721655622,-0.6003969766182184,-0.5698555879028531,0.0
dual_history,debugging,response_mapping,0.028588051986735502,0.021043977861595908,0.03570947926071122,1.0
dual_history,debugging,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_continuation_cost,-0.16983584861276607,-0.19123019530573523,-0.15289832371629983,0.0
dual_history,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_continuation_value,0.3361565357707413,0.3171812271743836,0.35936981120447586,1.0
dual_history,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_controllability,0.12976002197682024,0.11563077140636403,0.14532795585122843,1.0
dual_history,effort,factor_controllability__available,0.2157026044413902,0.20647832160414423,0.22486900341902025,1.0
dual_history,effort,factor_disengagement_value,-0.4103278518720173,-0.42892442531311153,-0.38777745896055243,0.0
dual_history,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_environmental_stability,0.08387081288826354,0.06382567415403068,0.10802122536172876,1.0
dual_history,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_goal_continuity,0.0032803614097920196,-0.01998550092808165,0.026777275319954007,0.6
dual_history,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_prior_investment,-0.05608222642839325,-0.07833402880981064,-0.03691605925311671,0.0
dual_history,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_progress_evidence,0.28468804111667184,0.2658003169567449,0.3034487932642917,1.0
dual_history,effort,factor_progress_evidence__available,-0.17382475946762596,-0.18021746401084687,-0.16617482613936715,0.0
dual_history,effort,factor_success_evidence,0.5474532440671216,0.530576123279939,0.5670569977837011,1.0
dual_history,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,effort,factor_uncertainty,-0.03624754797018691,-0.05742694156283839,-0.020721947329143325,0.0
dual_history,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,effort,history_action_1,0.0771589367740832,0.03744559946292701,0.10975766530782947,1.0
dual_history,effort,history_action_1__available,-0.03324435123621396,-0.037549718689033756,-0.02821257605859059,0.0
