architecture,bootstrap,variant_a,variant_b,delta_macro_r2,split_digest,paired_semantic_bootstrap
dual_history,45,M2,M3,0.0011182384480328267,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,45,M2,M4,-0.0007201823145899233,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,45,M3,M4,-0.00183842076262275,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,46,M2,M3,0.0005376046945815283,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,46,M2,M4,-0.0015479581397233044,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,46,M3,M4,-0.0020855628343048327,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,47,M2,M3,0.001545953011691692,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,47,M2,M4,-9.533861656607634e-05,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,47,M3,M4,-0.0016412916282577683,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,48,M2,M3,0.001037965798176943,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,48,M2,M4,-0.0009454200368210763,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,48,M3,M4,-0.0019833858349980193,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,49,M2,M3,0.0013808929062254505,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,49,M2,M4,-0.00037656319770995594,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,49,M3,M4,-0.0017574561039354064,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,50,M2,M3,0.0013759675290013762,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,50,M2,M4,-0.0005696509150415752,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,50,M3,M4,-0.0019456184440429514,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,51,M2,M3,0.0027467503396685355,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,51,M2,M4,0.0003560252354312121,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,51,M3,M4,-0.0023907251042373234,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,52,M2,M3,0.001300111527002823,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,52,M2,M4,-0.001782662551882308,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,52,M3,M4,-0.003082774078885131,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
